condition,valence,mean_rt,sd_rt,mean_acc,sd_acc
abstract,negative,8241.880398671095,3529.7371760960486,0.5946843853820599,0.4917705935922137
abstract,positive,9137.819444444447,4002.3683757707417,0.29166666666666663,0.45532084640474246
concrete,negative,8102.996666666665,3536.9551484853296,0.9166666666666666,0.27684719634237
concrete,positive,7365.367549668874,3212.7761151564173,0.9072847682119205,0.2905143423128722
